# term,courseCode,courseName,questionId,question,optionA,optionB,optionC,optionD,correctIndex(1-4)
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q42,Which storage class retains value between calls,auto,static,extern,register,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q43,Which directive includes header files,#define,#include,#pragma,#ifdef,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q44,Which directive defines macro,#include,#define,#macro,#def,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q45,Which feature allows variable argument functions,recursion,pointer,variable arguments,inline function,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q46,Which library supports variable arguments,stdarg.h,var.h,stdlib.h,arg.h,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q47,Which function terminates program execution,try,catch,exit(),stop(),3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q48,Which operator shifts bits left,<<,>>,<<<,>>>,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q49,Which operator shifts bits right,>>,<<,>>>,<<<,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q50,Which argument stores command line parameters,argv,args,params,input,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q1,If a set has n elements how many subsets does it have,n^2,n!,2^n,n+1,3
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q2,The empty set is denoted by,{0},{},empty set symbol,Both B and C,4
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q3,If A subset B and B subset A then,A union B empty,A equals B,A not equal B,A proper subset B,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q4,Which operation gives elements common to both sets,Union,Difference,Intersection,Complement,3
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q5,A function where every element of codomain has a preimage is called,Injective,Surjective,Bijective,Identity,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q6,A function mapping distinct inputs to distinct outputs,Surjective,Injective,Constant,Partial,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q7,A function that is both injective and surjective,Bijective,Onto,One-many,Partial,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q8,Domain of a function,Output values,Input values,Range values,All integers,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q9,Range of a function,Possible outputs,Input values,Domain values,All real numbers,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q10,If set A has 5 elements and B has 3 elements what is A cross B size,8,15,5,3,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q11,A relation is subset of,A cross B,A union B,A intersection B,B minus A,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q12,A relation is reflexive if,(a,a) belongs to R for all a,(a,b) belongs to R,(b,a) belongs to R,None,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q13,A relation is symmetric if,(a,a) in R,(a,b) implies (b,a),(a,b) implies (a,a),None,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q14,A relation is transitive if,(a,b) and (b,c) implies (a,c),(a,b) implies (b,a),(a,a),None,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q15,A relation that is reflexive symmetric and transitive is,Partial order,Equivalence relation,Function,Mapping,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q16,A relation that is reflexive antisymmetric and transitive is,Equivalence relation,Partial order relation,Symmetric relation,Function,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q17,Logical AND is represented by,AND symbol,OR symbol,NOT symbol,IMPLIES symbol,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q18,Logical OR operator is,AND,NOT,OR,IMPLIES,3
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q19,Logical negation operator is,AND,NOT,OR,IMPLIES,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q20,If p true and q false then p AND q equals,true,false,undefined,both,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q21,Implication operator represents,AND,OR,IMPLIES,NOT,3
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q22,A statement always true is called,Contradiction,Tautology,Conditional,Negation,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q23,A statement always false is called,Tautology,Contradiction,Implication,Equivalence,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q24,Proof method assuming opposite of statement,Direct proof,Contradiction,Induction,Deduction,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q25,Mathematical induction mainly used for,Real numbers,Natural numbers,Fractions,Complex numbers,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q26,Induction proof consists of,Base step,Inductive step,Both steps,None,3
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q27,Number of permutations of n objects,n^2,n!,2^n,n,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q28,Permutation formula P(n,r),n!/r!,n!/(n-r)!,n!/(r!(n-r)!),r!,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q29,Combination formula C(n,r),n!/(r!(n-r)!),n!/(n-r)!,n!/r!,n^2,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q30,C(5,2) equals,10,20,5,25,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q31,P(5,2) equals,10,20,5,25,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q32,Probability value ranges between,-1 and 1,0 and 1,0 and 10,1 and 100,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q33,Independent events follow,P(A and B)=P(A)P(B),P(A)+P(B),P(A)=P(B),None,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q34,Total probability of sample space equals,0,1,n,2,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q35,Recurrence relation defines,sequence recursively,constant values,matrices,graphs,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q36,Fibonacci recurrence relation,Fn=Fn-1+Fn-2,Fn=n^2,Fn=n+1,Fn=2n,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q37,A graph consists of,vertices and edges,numbers and matrices,nodes only,edges only,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q38,Degree of vertex means,number of incident edges,number of vertices,number of paths,number of graphs,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q39,A path that starts and ends at same vertex is,cycle,edge,tree,chain,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q40,A tree with n vertices has,n edges,n-1 edges,n+1 edges,n^2 edges,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q41,A connected graph without cycles is,tree,forest,path,network,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q42,Edges in complete graph with n vertices,n^2,n(n-1)/2,n,n+1,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q43,Graph with multiple edges between vertices,multigraph,simple graph,tree,bipartite graph,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q44,Number divisible only by 1 and itself,composite,prime,even,rational,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q45,GCD stands for,Greatest Common Divisor,General Common Divisor,Group Common Divisor,Global Common Divisor,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q46,LCM stands for,Least Common Multiple,Largest Common Multiple,Lowest Composite Multiple,Linear Common Multiple,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q47,Algebraic structure with one binary operation,Group,Set,Ring,Field,1
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q48,Commutative group is called,Cyclic group,Abelian group,Normal group,Ring,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q49,Set with two operations satisfying ring properties,Group,Ring,Field,Vector space,2
1-1,CSE 103,Discrete Mathematics,1-1-CSE103-Q50,Ring where every nonzero element has inverse,Group,Field,Semigroup,Monoid,2

1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q1,What is an algorithm,A step by step procedure,A programming language,A hardware component,A compiler,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q2,Which notation represents the upper bound of algorithm complexity,O notation,Theta notation,Omega notation,Little o notation,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q3,Which notation represents the lower bound of complexity,Omega notation,Theta notation,O notation,Little o notation,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q4,Which notation represents tight bound complexity,Theta notation,O notation,Omega notation,Little omega notation,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q5,Which factor mainly affects algorithm efficiency,Input size,Screen size,Keyboard layout,Operating system color,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q6,Which technique proves algorithm correctness,Mathematical proof,Debugging only,Compilation,Execution only,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q7,Which theorem helps solve recurrence relations,Master theorem,Pythagorean theorem,Bayes theorem,Gauss theorem,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q8,Which data structure stores elements sequentially in memory,Array,Linked list,Graph,Tree,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q9,Which data structure uses nodes and pointers,Linked list,Array,Stack,Queue,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q10,Which data structure follows LIFO principle,Stack,Queue,Graph,Tree,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q11,Which data structure follows FIFO principle,Queue,Stack,Tree,Heap,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q12,Which traversal visits root left right,Preorder,Inorder,Postorder,Level order,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q13,Which traversal visits left root right,Inorder,Preorder,Postorder,BFS,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q14,Which traversal visits left right root,Postorder,Preorder,Inorder,BFS,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q15,Which traversal explores level by level,BFS,DFS,Preorder,Postorder,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q16,Which traversal explores depth first,DFS,BFS,Level order,Binary traversal,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q17,Which structure represents hierarchical relationships,Tree,Array,Stack,Queue,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q18,Which structure represents pairwise connections,Graph,Array,Stack,Tree,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q19,Which graph representation uses matrix,Adjacency matrix,Adjacency list,Edge list,Node table,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q20,Which graph representation saves memory for sparse graphs,Adjacency list,Adjacency matrix,Edge matrix,Node table,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q21,Which data structure is used in heap implementation,Binary tree,Array only,Graph,Queue,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q22,Which tree keeps smaller elements left and larger right,Binary search tree,Heap,Trie,Binary tree,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q23,Which algorithm design strategy splits problems recursively,Divide and conquer,Greedy,Dynamic programming,Backtracking,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q24,Which strategy makes locally optimal choices,Greedy method,Divide and conquer,Dynamic programming,Brute force,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q25,Which strategy stores results of subproblems,Dynamic programming,Greedy method,Divide and conquer,Randomized method,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q26,Which sorting algorithm compares adjacent elements,Bubble sort,Merge sort,Heap sort,Quick sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q27,Which sorting algorithm uses divide and conquer,Merge sort,Insertion sort,Selection sort,Bubble sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q28,Which sorting algorithm selects smallest element repeatedly,Selection sort,Merge sort,Quick sort,Heap sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q29,Which sorting algorithm inserts elements one by one,Insertion sort,Bubble sort,Merge sort,Heap sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q30,Which sorting algorithm has average O(n log n) time,Merge sort,Selection sort,Bubble sort,Insertion sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q31,Which sorting algorithm can run in linear time for special cases,Counting sort,Merge sort,Quick sort,Heap sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q32,Which sorting algorithm uses heap structure,Heap sort,Merge sort,Insertion sort,Bubble sort,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q33,Lower bound theory studies,Minimum possible complexity,Maximum memory usage,Hardware limits,Compiler design,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q34,Which operation inserts element in stack,Push,Pop,Insert,Append,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q35,Which operation removes element from stack,Pop,Push,Delete,Drop,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q36,Which operation inserts element in queue,Enqueue,Push,Insert,Add,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q37,Which operation removes element from queue,Dequeue,Delete,Pop,Remove,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q38,Which traversal method uses recursion frequently,DFS,BFS,Level traversal,Heap traversal,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q39,Which data structure is commonly used for recursion,Stack,Queue,Tree,Graph,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q40,Which algorithm finds shortest path in unweighted graph,BFS,DFS,Dijkstra,Prim,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q41,Which algorithm explores graph deeply first,DFS,BFS,Dijkstra,Kruskal,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q42,Which structure stores elements with priority,Heap,Stack,Queue,List,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q43,Which tree is complete binary tree used for heap,Heap tree,Binary search tree,AVL tree,Trie,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q44,Which algorithm design method solves overlapping subproblems,Dynamic programming,Greedy method,Divide and conquer,Randomized method,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q45,Which structure supports efficient search operations,Binary search tree,Array,Stack,Queue,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q46,Which complexity describes logarithmic growth,O(log n),O(n),O(n^2),O(1),1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q47,Which complexity describes constant time,O(1),O(n),O(log n),O(n^2),1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q48,Which complexity describes quadratic growth,O(n^2),O(n),O(log n),O(1),1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q49,Which algorithm design method breaks problem into subproblems,Divide and conquer,Greedy,Dynamic programming,Backtracking,1
1-2,CSE 105,Data Structures and Algorithms I,1-2-CSE105-Q50,Which data structure manages disjoint set operations,Disjoint set structure,Stack,Queue,Graph,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q1,Which paradigm organizes software using objects,Object oriented programming,Procedural programming,Functional programming,Assembly programming,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q2,Which concept hides internal implementation details,Encapsulation,Inheritance,Compilation,Iteration,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q3,Which OOP principle represents real world entities,Abstraction,Looping,Compilation,Debugging,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q4,Which concept allows code reuse through hierarchy,Inheritance,Encapsulation,Iteration,Branching,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q5,Which concept allows one interface many implementations,Polymorphism,Encapsulation,Compilation,Linking,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q6,Which keyword defines a class in C++,class,struct,object,define,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q7,Which entity is an instance of a class,Object,Function,Loop,Pointer,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q8,Which access specifier allows access everywhere,Public,Private,Protected,Hidden,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q9,Which access specifier restricts access within class only,Private,Public,Protected,Package,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q10,Which access specifier allows access to derived classes,Protected,Public,Private,Hidden,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q11,Which function is expanded inline by compiler,Inline function,Recursive function,Friend function,Static function,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q12,Which function can access private members of class,Friend function,Virtual function,Inline function,Static function,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q13,Which special function initializes object,Constructor,Destructor,Operator,Template,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q14,Which special function releases object resources,Destructor,Constructor,Operator,Template,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q15,Which feature allows operators to work with objects,Operator overloading,Function overloading,Inheritance,Templates,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q16,Which inheritance involves one base and one derived class,Single inheritance,Multiple inheritance,Multilevel inheritance,Hybrid inheritance,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q17,Which inheritance involves chain of classes,Multilevel inheritance,Single inheritance,Multiple inheritance,Hybrid inheritance,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q18,Which inheritance involves multiple base classes,Multiple inheritance,Single inheritance,Multilevel inheritance,Linear inheritance,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q19,Which polymorphism occurs at compile time,Function overloading,Virtual functions,Dynamic binding,Runtime polymorphism,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q20,Which polymorphism occurs at runtime,Virtual functions,Function overloading,Inline functions,Templates,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q21,Which function is declared using virtual keyword,Virtual function,Friend function,Static function,Inline function,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q22,Which class cannot be instantiated directly,Abstract class,Base class,Friend class,Inline class,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q23,Which function has no body and ends with zero,Pure virtual function,Inline function,Friend function,Recursive function,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q24,Which feature allows writing generic classes,Templates,Inheritance,Encapsulation,Overloading,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q25,Which template works with functions,Function template,Class template,Operator template,Friend template,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q26,Which template works with classes,Class template,Function template,Operator template,Macro template,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q27,Which library provides ready to use containers in C++,STL,STDIO,IOSTREAM,CMATH,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q28,Which Java class represents immutable string,String,StringBuffer,StringBuilder,CharArray,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q29,Which class represents mutable sequence of characters,StringBuffer,String,StringBuilder,Character,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q30,Which class provides faster mutable strings,StringBuilder,StringBuffer,String,CharSequence,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q31,Which Java class is superclass of all classes,Object,String,Thread,System,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q32,Which Java feature allows multiple inheritance behavior,Interface,Class,Package,Thread,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q33,Which mechanism handles runtime errors,Exception handling,Compilation,Linking,Parsing,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q34,Which keyword throws exception in Java,throw,catch,finally,try,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q35,Which keyword handles exception block,catch,throw,finalize,error,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q36,Which feature allows executing multiple threads,Multithreading,Multiprocessing,Compilation,Debugging,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q37,Which class represents thread in Java,Thread,Object,System,Class,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q38,Which collection stores unique elements,Set,List,Array,Queue,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q39,Which collection maintains ordered elements,List,Set,Map,Stack,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q40,Which Java feature processes collections with functional style,Stream API,Thread API,Socket API,File API,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q41,Which expression provides concise anonymous functions,Lambda expression,Pointer expression,Macro expression,Template expression,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q42,Which class represents network server socket,ServerSocket,Socket,Thread,Stream,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q43,Which class represents client connection socket,Socket,ServerSocket,Thread,Packet,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q44,Which Java concept allows grouping classes,Package,Interface,Thread,Stream,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q45,Which access level allows package level visibility,Package access,Private,Public,Protected,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q46,Which class can exist inside another class,Nested class,Friend class,Inline class,Macro class,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q47,Which class is defined inside method,Local inner class,Nested class,Static class,Derived class,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q48,Which feature allows anonymous implementation of interface,Anonymous class,Static class,Friend class,Inline class,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q49,Which concept improves modularity and reuse,Object oriented programming,Assembly programming,Machine programming,Procedural programming,1
1-2,CSE 107,Object Oriented Programming Language,1-2-CSE107-Q50,Which advantage reduces code duplication,Inheritance,Compilation,Execution,Iteration,1

2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q1,Which number system is used in digital logic circuits,Binary,Decimal,Octal,Hexadecimal,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q2,How many possible values does a binary signal have,2,4,8,16,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q3,Which algebra is used for digital circuit analysis,Boolean algebra,Linear algebra,Matrix algebra,Vector algebra,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q4,Which logic gate outputs true only when both inputs are true,AND gate,OR gate,XOR gate,NAND gate,1
